,city,driver_count,type,date,fare,ride_id
0,Richardfort,38,Urban,2/24/2019 8:40,13.93,5628545007794
1,Richardfort,38,Urban,2/13/2019 12:46,14,910050116494
2,Richardfort,38,Urban,2/16/2019 13:52,17.92,820639054416
3,Richardfort,38,Urban,2/1/2019 20:18,10.26,9554935945413
4,Richardfort,38,Urban,4/17/2019 2:26,23,720020655850
5,Richardfort,38,Urban,4/21/2019 3:44,9.54,3698147103219
6,Richardfort,38,Urban,2/3/2019 0:14,29.04,4982665519010
7,Richardfort,38,Urban,2/8/2019 15:50,16.55,2270463070874
8,Richardfort,38,Urban,4/3/2019 15:07,40.77,9496210735824
9,Richardfort,38,Urban,2/19/2019 14:09,27.11,8690324801449
10,Richardfort,38,Urban,4/22/2019 3:06,39.74,4081388893008
11,Richardfort,38,Urban,1/31/2019 14:51,43.92,4066949857460
12,Richardfort,38,Urban,3/4/2019 22:13,14.83,9474112834050
13,Richardfort,38,Urban,3/28/2019 19:33,7.75,5539056178883
14,Richardfort,38,Urban,2/14/2019 3:27,44.11,2503858662225
15,Richardfort,38,Urban,4/27/2019 11:59,30.31,6106446829435
16,Richardfort,38,Urban,3/3/2019 11:57,11.42,2916078036620
17,Richardfort,38,Urban,1/13/2019 10:08,25.81,9110913538598
18,Richardfort,38,Urban,3/6/2019 12:53,8.28,5127600643309
19,Richardfort,38,Urban,2/5/2019 16:12,42.22,4051093040264
20,Richardfort,38,Urban,4/4/2019 15:04,16.35,6077906760851
21,Richardfort,38,Urban,3/5/2019 16:00,4.85,3291539624738
22,Richardfort,38,Urban,4/14/2019 11:56,43.01,7636011510547
23,Richardfort,38,Urban,1/21/2019 23:20,10.91,3567611375530
24,Richardfort,38,Urban,3/16/2019 23:00,21.39,237473464569
25,Richardfort,38,Urban,3/22/2019 4:41,16.35,5934239154720
26,Richardfort,38,Urban,1/3/2019 1:06,5.32,3268844473610
27,Richardfort,38,Urban,3/29/2019 15:16,37.76,4802688422688
28,Williamsstad,59,Urban,1/23/2019 17:51,19.62,125986195523
29,Williamsstad,59,Urban,3/29/2019 21:43,35.58,4747780858464
30,Williamsstad,59,Urban,2/13/2019 20:07,33.72,3796713212942
31,Williamsstad,59,Urban,5/1/2019 1:26,26.81,4542954169892
32,Williamsstad,59,Urban,2/23/2019 17:42,4.68,9109973457376
33,Williamsstad,59,Urban,3/5/2019 2:33,25.02,1313211827663
34,Williamsstad,59,Urban,4/16/2019 23:07,23.12,969457753191
35,Williamsstad,59,Urban,3/12/2019 1:39,18.67,2161825345900
36,Williamsstad,59,Urban,4/12/2019 12:30,17.57,7099676230210
37,Williamsstad,59,Urban,2/21/2019 10:56,4.9,7176452471538
38,Williamsstad,59,Urban,4/16/2019 16:21,32.43,7177820757193
39,Williamsstad,59,Urban,2/22/2019 4:25,20.56,5813755050580
40,Williamsstad,59,Urban,5/6/2019 12:39,40.79,8720870563338
41,Williamsstad,59,Urban,1/6/2019 20:14,43.5,2047847470762
42,Williamsstad,59,Urban,3/25/2019 16:07,42.93,2209997295019
43,Williamsstad,59,Urban,4/26/2019 4:18,18.92,1606397653905
44,Williamsstad,59,Urban,4/21/2019 23:26,26.99,8562558271094
45,Williamsstad,59,Urban,4/1/2019 17:37,16.83,1516898097903
46,Williamsstad,59,Urban,5/6/2019 19:34,26.43,8987900630211
47,Williamsstad,59,Urban,1/20/2019 18:47,18.79,5023157350397
48,Williamsstad,59,Urban,1/3/2019 10:03,17.16,28294640252
49,Williamsstad,59,Urban,3/12/2019 11:08,13.79,5771635421960
50,Williamsstad,59,Urban,4/4/2019 6:55,31.52,778427079687
